ut	altitude	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
20714.3871450433	79028.2671714601	3145	179.987145356961	0	2.66367046666868E-05	2.56768906545865E-05	2.66521953304365E-05	186.39920650325	186.382356841901	0.574146583144621	0.566378478139374	0.566378478139374
20715.5071450433	78984.9015008338	3144	179.992032864791	0	2.68547291303448E-05	2.58841189416754E-05	2.68704479237679E-05	186.164560327584	186.147657013922	0.577545051360125	0.56985308677103	0.56985308677103
20716.6271450434	78941.1960238526	3144	179.959284090154	0	2.70754015174649E-05	2.60944175877665E-05	2.70919188435788E-05	185.93307647274	185.91212088159	0.581669875745336	0.573421990977846	0.573421990977847
20718.3071450434	78874.9919250191	3144	179.988384523831	0	2.74139386851737E-05	2.64159079896346E-05	2.743045764607E-05	185.575561316936	185.557175658395	0.587162933402957	0.578846577312617	0.578846577312617
20719.4271450434	78830.4192921132	3143	179.98937414632	0	2.76436974250545E-05	2.66343387825694E-05	2.76604506609938E-05	185.337885214142	185.319487065474	0.591287670636713	0.58256730720304	0.58256730720304
20720.5471450435	78785.4926350843	3143	179.991462907555	0	2.78770206001478E-05	2.68561777424569E-05	2.78940149034701E-05	185.09933542517	185.080886801207	0.595657147790823	0.586362907432837	0.586362907432837
20721.6671450435	78740.2078179986	3143	179.980071587639	0	2.81141519910001E-05	2.70814783550832E-05	2.81312058586887E-05	184.858678477998	184.84146630088	0.600026449822369	0.590246768008862	0.590246768008862
20722.7871450435	78694.5607050322	3142	179.983807218705	0	2.83548025632069E-05	2.73103658605157E-05	2.83721544693925E-05	184.618455683699	184.601165029945	0.604020435160313	0.594200605018447	0.594200605018447
20723.9071450435	78648.5471043679	3142	179.984708262026	0	2.85993148015914E-05	2.75429116913801E-05	2.86169353141198E-05	184.377336742395	184.359998135307	0.608372639270658	0.598241282151081	0.598241282151081
20725.0271450436	78602.162810733	3142	179.988144221589	0	2.88477496028865E-05	2.77791851554391E-05	2.88656208823378E-05	184.135344754767	184.117996756481	0.61301160131951	0.60236671272804	0.602366712728039
20726.1471450436	78555.4035819648	3142	179.986862612649	0	2.90997620028444E-05	2.80193155429145E-05	2.91183461547682E-05	183.895069557303	183.875130261828	0.61700215160319	0.60658754296991	0.60658754296991
20727.2671450436	78508.2651525998	3141	179.983224658657	0	2.93563547787922E-05	2.82634032285163E-05	2.93752156756904E-05	183.651347760633	183.631400535174	0.621794074027889	0.61090458576907	0.61090458576907
20728.3871450436	78460.7432300913	3141	179.986099861866	0	2.96173254194443E-05	2.85115446540737E-05	2.96363301880009E-05	183.405636064351	183.386837075427	0.626852648849223	0.615314671398505	0.615314671398505
20729.5071450437	78412.8334820058	3141	179.985855018563	0	2.98824693561841E-05	2.87638032193713E-05	2.99017563564054E-05	183.160275251961	183.14143946326	0.632013299964861	0.619828893352999	0.619828893352999
20730.6271450437	78364.5315485959	3140	179.983386153817	0	3.0152056385635E-05	2.90203594174251E-05	3.01716819077233E-05	182.914080663012	182.895194686082	0.636677698334598	0.624451650998526	0.624451650998526
20731.7471450437	78315.8330401463	3140	179.982548163048	0	3.04261621582075E-05	2.92812415765965E-05	3.04461369562068E-05	182.667084318342	182.648132889448	0.641983096850463	0.629182726710903	0.629182726710903
20732.8671450437	78266.7335377621	3140	179.993021156238	0	3.07050459707754E-05	2.95466444830677E-05	3.07253246081123E-05	182.419209597595	182.400237631847	0.646779752920105	0.634019306617859	0.634019306617859
20733.9871450437	78217.2285669367	3139	179.989725222279	0	3.09886414234759E-05	2.98166533562014E-05	3.10093336425147E-05	182.170557783165	182.151511742163	0.65266901835335	0.638986448968059	0.638986448968059
20735.1071450438	78167.3136337089	3139	179.974195275187	0	3.12774376509052E-05	3.00913529190544E-05	3.12982529617864E-05	181.919957333103	181.90199928879	0.657979447476622	0.644087717345752	0.644087717345752
20736.2271450438	78116.9842248932	3139	179.974470675733	0	3.15710527145593E-05	3.03708958052548E-05	3.15922417380714E-05	181.669707053865	181.651685269253	0.663888093730164	0.649304267039464	0.649304267039464
20737.3471450438	78066.2357626235	3138	179.974083006501	0	3.18698797691904E-05	3.06554267442892E-05	3.18914507420109E-05	181.41865509509	181.40057101455	0.669153561879589	0.654655874685921	0.654655874685921
20738.4671450438	78015.0636412683	3138	179.973455514096	0	3.21740211504391E-05	3.0945054076977E-05	3.21959932703891E-05	181.166818672332	181.148687125349	0.67539130900253	0.660147300189043	0.660147300189043
20739.5871450439	77963.4632221981	3138	179.983732142986	0	3.24834565389172E-05	3.12399203999032E-05	3.25060180864446E-05	180.915272109471	180.896018131874	0.680950533078675	0.665774288824366	0.665774288824366
20740.7071450439	77911.4297995149	3137	179.971511768696	0	3.27984831654569E-05	3.15401328416107E-05	3.2821637219368E-05	180.662969040663	180.642609931383	0.687461904409464	0.67157165650599	0.67157165650599
20741.8271450439	77858.9586533646	3137	179.947907100719	0	3.31195087332376E-05	3.18458740918501E-05	3.31430410852979E-05	180.408819621359	180.388447532812	0.693602465504189	0.677536923476337	0.677536923476338
20742.9471450439	77806.0450522527	3136	179.976715789993	0	3.34468191619723E-05	3.21572840481104E-05	3.34703753542323E-05	180.151833746468	180.133548035261	0.700251801665164	0.683593574562807	0.683593574562807
