ut	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
20225.4990861047	243	-179.92157466277	0	0.208240280876663	0.208839512986771	0.208742001743759	220.411999225733	220.476445704565	23.4259440763103	23.0429400404616	16.6057781067613
20226.6190861047	240	-179.923427783487	0	0.215427320020273	0.216051985550902	0.215954358820244	221.313473399601	221.37787405666	22.6671999732089	22.1126044086984	16.5176324041714
20227.1790861047	239	179.935206330251	0	0.21915632311413	0.219794375188753	0.219696689811315	221.764221956186	221.828660853421	22.2086630639747	21.668335535586	16.5398673869494
20228.2990861047	237	179.94341472222	0	0.226900971686848	0.227567080365846	0.227469280725748	222.667272617826	222.731907030194	21.3902989214631	20.9686472795536	16.7067947066292
20229.4190861048	235	179.944957471055	0	0.235048107230075	0.235743898627731	0.235645996193717	223.574131258429	223.639089848961	20.8216384410124	20.5328944147592	17.0132104426964
20230.5390861048	234	-179.931876005273	0	0.243618735008716	0.244345585671291	0.244247600324754	224.486236609119	224.551624332368	20.4862716780808	20.295470604053	17.4201899591172
20231.6590861048	233	-179.937426646362	0	0.252629327641115	0.253388238029253	0.253290198332346	225.404386773003	225.470229428923	20.3114275861018	20.1789112461662	17.8977346849505
20232.7790861048	233	-179.991473359723	0	0.262092965936509	0.262884634297463	0.262786577493665	226.328918618203	226.395209990861	20.2298712366968	20.1277560200326	18.4271389529594
20233.8990861049	232	-179.961110411837	0	0.272020082478188	0.272845116656934	0.272747088538577	227.259882662204	227.326634536686	20.2000673100749	20.1148507770745	18.9975175552561
20234.4590861049	232	-179.992495458731	0	0.277160224141937	0.278002178305153	0.277904184486853	227.727757592218	227.794747609959	20.1947401310986	20.1125739191306	19.2960628349786
20235.5790861049	231	179.951369098266	0	0.287798887129158	0.288675109838978	0.288577229702541	228.668273818667	228.735675778519	20.1949163618188	20.1203689968813	19.9181414550981
20236.6990861049	231	179.98333456747	0	0.29892161812315	0.299832495980893	0.299734796620769	229.614934745808	229.682803081908	20.2023846962046	20.1276204844127	20.5716594954336
20237.8190861049	230	-179.992825890471	0	0.310535366841407	0.311481311162675	0.311383867736736	230.567657923567	230.635943904242	20.2108686364745	20.1371591955633	21.2561198149661
20238.939086105	230	-179.978876714269	0	0.322646865725374	0.323628333262452	0.323531228616246	231.526253682513	231.594942938124	20.2206425150299	20.1474215857001	21.9711075964814
20240.059086105	229	-179.970630150136	0	0.335262564438953	0.336279863741449	0.336183188145695	232.490596801689	232.559720621655	20.2292394230998	20.1568352216818	22.6547873754424
20241.179086105	229	-179.978190878667	0	0.348388609883724	0.349441971700453	0.349345822467847	233.460576679252	233.530075293789	20.2377063930576	20.1641847676691	23.1423064875487
20241.739086105	228	-179.96560050379	0	0.355144842263224	0.35621637332464	0.356120525731923	233.94764141172	234.017332143944	20.2414013023411	20.1687345878013	23.3907963088891
20242.8590861051	228	-179.97954858418	0	0.369047198608811	0.370155499002382	0.370060335796029	234.925805351	234.995889809139	20.2482171676436	20.1750160360064	23.8965822619726
